"고유번호","대피소명칭","소재지","최대수용인원","현재수용인원","현재운영여부","전화번호","행정동코드","행정동명칭","대피단계","비고","경도","위도"
"2","혜화초등학교","혜화동 13-1 (혜화로 32)","450","0","N","763-0606","11110650","혜화동"," "," ","126.9998906","37.5891283"
"3","새샘교회","홍제동 20-4","100","0","N","720-7040","11410655","홍제2동"," "," ","126.9504844","37.5836603"
"4","한강중앙교회","포은로2가길 66(합정동)","130","0","N","337-6629","11440680","합정동"," "," ","126.9100281","37.5493434"
"5","서울성산초등학교","양화로3길 94(합정동)","200","0","N","324-1407","11440680","합정동"," "," ","126.9106658","37.5534953"
"6","상도1동경로당","상도동 159-282","20","0","N","010-8011-7330","11590530","상도1동"," "," ","126.9482686","37.5003954"
"7","상도초등학교","상도동 238-2","1300","0","N","822-0078","11590560","상도4동"," "," ","126.9374323","37.4997347"
"8","본동초교","노량진동 133","739","0","N","813-0408","11590510","노량진1동"," "," ","126.9536402","37.5100544"
"10","남정초등학교","원효2가 54-1","300","0","N","712-8015","11170560","원효로1동"," "," ","126.9650202","37.5365343"
"11","응암초등학교","응암3동 7-40","1484","0","N","303-3044","11380600","응암3동"," "," ","126.9217785","37.5884354"
"12","제일감리교회","흑석동 80-3","100","0","N","02-817-2541","11590605","흑석동"," "," ","126.9625144","37.5030252"
"13","봉천종합사회복지관","관악로 254","600","0","N","870-4400","11620545","청림동"," "," ","126.9576162","37.4866976"
"14","여의도초등학교","여의도동 40-3","894","0","N","010-2035-3969","11560540","여의동"," "," ","126.9368097","37.5232077"
"15","사당1동주민센터","사당동 105-12","100","0","N","820-2566","11590620","사당1동"," "," ","126.9787764","37.4830902"
"16","서부성결교회","이촌동 208-1","40","0","N","702-1635","11170640","이촌2동"," "," ","126.9537102","37.5283727"
"17","서울 이수 중학교","방배2동 974-22(방배중앙로3길 32)","0","0","N","521-4651","11650610","방배2동"," "," ","126.9901108","37.4811316"
"18","서울공덕초등학교","만리재옛길 13(공덕동)","295","0","N","02-712-1365","11440555","아현동"," "," ","126.9535807","37.5459029"
"19","국사봉중학교","상도동 214-437","700","0","N","822-3615","11590560","상도4동"," "," ","126.9440685","37.4937422"
"20","봉현초등학교","성현로 117","120","0","N","885-1986","11620565","성현동"," "," ","126.9553258","37.4910611"
"22","천주교 외방선교회","성북동 1가 20","800","0","N","3673-2525","11290525","성북동"," "," ","127.0021399","37.5911343"
"23","성동세무서"," ","0","0","N"," ","11200720","송정동"," "," ","127.0628283","37.5484412"
"24","방이중학교","방이2동 53","6000","0","N","415-2193","11710562","방이2동"," "," ","127.1130378","37.5147612"
"25","가락초등학교"," ","0","0","N"," ","11710631","가락1동"," "," ","127.1079155","37.4998298"
"26","성수초교","성수2가 277-32(발전1길 31)","248","0","N","464-5004","11200690","성수2가3"," "," ","127.0629919","37.5444065"
"27","잠신초등학교"," ","0","0","N"," ","11710670","잠실2동"," "," ","127.0878144","37.5159073"
"28","태화기독교종합 사회복지관","수서동 741 (광평로 185)","1300","0","N","2040-1600","11680720","일원본동"," "," ","127.0934544","37.484888"
"29","잠실중학교","신천동 7-1","1300","0","N","418-0586","11710710","잠실6동"," "," ","127.099344","37.5172332"
"30","정릉초등학교","정릉4동 798","2390","0","N","916-2590","11290650","정릉4동"," "," ","127.0055226","37.6198317"
"32","광양중학교","자양2동 674","0","0","N","452-6921","11215830","자양2동"," "," ","127.0853523","37.5303512"
"34","대광고등학교","신설동 53-3","0","0","N","926-4976","11230536","용신동"," "," ","127.0244276","37.5778498"
"308","성실교회교육관","수유동 221-49 (노혜로50)","560","0","N","998-9988","11305630","수유3동"," "," ","127.0229092","37.6403265"
"309","가원초등학교"," ","0","0","N"," ","11710642","문정2동"," "," ","127.1112013","37.4891812"
"35","도봉중학교","도봉2동 622 (마들로 671)","3218","0","N","02-954-2795","11320522","도봉2동"," "," ","127.0457558","37.6708916"
"36","쌍문4동주민센터","쌍문4동 59-7 (시루봉로 62-7)","431","0","N","01-2289-1504","11320681","쌍문4동"," "," ","127.0284014","37.6564809"
"9","방배2동 주민센터","방배2동 462-13","0","0","N","2155-7771","11650610","방배2동"," "," ","126.9856123","37.4797843"
"31","보인고등학교","오금동 162","800","0","N","449-8063","11710570","오금동"," "," ","127.1394478","37.497947"
"37","개포초등학교","개포2동 188 (영동대로 서98길45)","2000","0","N","445-9327","11680670","개포2동"," "," ","127.0704134","37.4868368"
"38","마천초등학교","마천동 183-4","3380","0","N","406-0677","11710540","마천1동"," "," ","127.1526489","37.4955053"
"39","학마을다사랑센터","방학3동446-5 (시루봉로 128)","1279","0","N","02-901-5190","11320710","방학3동"," "," ","127.0278544","37.6621603"
"40","보성중고등학교","방이동 89-22","4300","0","N","406-1341","11710566","오륜동"," "," ","127.134857","37.5197002"
"41","길동초등학교","길동 362","0","0","N","475-5592","11740685","길동"," "," ","127.1448722","37.538511"
